resource,identifier,polypeptide_id
UniProtKB,P31995,P31995
UniProt Accession,FCG2C_HUMAN,P31995
HUGO Gene Nomenclature Committee (HGNC),HGNC:6709,P01374
GenAtlas,LTA,P01374
GenBank Gene Database,X01393,P01374
GenBank Protein Database,34445,P01374
UniProtKB,P01374,P01374
UniProt Accession,TNFB_HUMAN,P01374
HUGO Gene Nomenclature Committee (HGNC),HGNC:3620,O75015
GenAtlas,FCGR3B,O75015
GenBank Gene Database,X16863,O75015
GenBank Protein Database,31322,O75015
UniProtKB,O75015,O75015
UniProt Accession,FCG3B_HUMAN,O75015
HUGO Gene Nomenclature Committee (HGNC),HGNC:1247,P09871
GenAtlas,C1S,P09871
GenBank Gene Database,X06596,P09871
GenBank Protein Database,763110,P09871
Guide to Pharmacology,2335,P09871
UniProtKB,P09871,P09871
UniProt Accession,C1S_HUMAN,P09871
HUGO Gene Nomenclature Committee (HGNC),HGNC:1246,P00736
GenAtlas,C1R,P00736
GenBank Gene Database,X04701,P00736
GenBank Protein Database,29539,P00736
Guide to Pharmacology,2334,P00736
UniProtKB,P00736,P00736
UniProt Accession,C1R_HUMAN,P00736
HUGO Gene Nomenclature Committee (HGNC),HGNC:1241,P02745
GenAtlas,C1QA,P02745
GenBank Gene Database,AF135157,P02745
GenBank Protein Database,4894854,P02745
UniProtKB,P02745,P02745
UniProt Accession,C1QA_HUMAN,P02745
HUGO Gene Nomenclature Committee (HGNC),HGNC:1242,P02746
GenAtlas,C1QB,P02746
GenBank Gene Database,X03084,P02746
GenBank Protein Database,573114,P02746
UniProtKB,P02746,P02746
UniProt Accession,C1QB_HUMAN,P02746
HUGO Gene Nomenclature Committee (HGNC),HGNC:1245,P02747
GenAtlas,C1QC,P02747
GenBank Gene Database,AF087892,P02747
GenBank Protein Database,33150626,P02747
UniProtKB,P02747,P02747
UniProt Accession,C1QC_HUMAN,P02747
HUGO Gene Nomenclature Committee (HGNC),HGNC:3535,P00734
GenAtlas,F2,P00734
GenBank Gene Database,M17262,P00734
GenBank Protein Database,339641,P00734
Guide to Pharmacology,2362,P00734
UniProtKB,P00734,P00734
UniProt Accession,THRB_HUMAN,P00734
HUGO Gene Nomenclature Committee (HGNC),HGNC:4421,P30968
GenAtlas,GNRHR,P30968
GenBank Gene Database,L03380,P30968
GenBank Protein Database,183422,P30968
IUPHAR,256,P30968
Guide to Pharmacology,256,P30968
UniProtKB,P30968,P30968
UniProt Accession,GNRHR_HUMAN,P30968
HUGO Gene Nomenclature Committee (HGNC),HGNC:5433,P48551
GenAtlas,IFNAR2,P48551
GenBank Gene Database,L42243,P48551
GenBank Protein Database,995300,P48551
UniProtKB,P48551,P48551
UniProt Accession,INAR2_HUMAN,P48551
HUGO Gene Nomenclature Committee (HGNC),HGNC:5432,P17181
GenAtlas,IFNAR1,P17181
GenBank Gene Database,J03171,P17181
GenBank Protein Database,306914,P17181
Guide to Pharmacology,1723,P17181
UniProtKB,P17181,P17181
UniProt Accession,INAR1_HUMAN,P17181
HUGO Gene Nomenclature Committee (HGNC),HGNC:9071,P00747
GenAtlas,PLG,P00747
GenBank Gene Database,X05199,P00747
GenBank Protein Database,387026,P00747
Guide to Pharmacology,2394,P00747
UniProtKB,P00747,P00747
UniProt Accession,PLMN_HUMAN,P00747
HUGO Gene Nomenclature Committee (HGNC),HGNC:3661,P02671
GenAtlas,FGA,P02671
GenBank Gene Database,AF361104,P02671
GenBank Protein Database,13591824,P02671
UniProtKB,P02671,P02671
UniProt Accession,FIBA_HUMAN,P02671
HUGO Gene Nomenclature Committee (HGNC),HGNC:9053,Q03405
GenAtlas,PLAUR,Q03405
GenBank Gene Database,X51675,Q03405
GenBank Protein Database,37605,Q03405
UniProtKB,Q03405,Q03405
UniProt Accession,UPAR_HUMAN,Q03405
HUGO Gene Nomenclature Committee (HGNC),HGNC:8583,P05121
GenAtlas,SERPINE1,P05121
GenBank Gene Database,X04429,P05121
GenBank Protein Database,35272,P05121
UniProtKB,P05121,P05121
UniProt Accession,PAI1_HUMAN,P05121
HUGO Gene Nomenclature Committee (HGNC),HGNC:4266,Q02643
GenAtlas,GHRHR,Q02643
GenBank Gene Database,L01406,Q02643
GenBank Protein Database,183173,Q02643
IUPHAR,247,Q02643
UniProtKB,Q02643,Q02643
UniProt Accession,GHRHR_HUMAN,Q02643
HUGO Gene Nomenclature Committee (HGNC),HGNC:5433,P48551
GenAtlas,IFNAR2,P48551
GenBank Gene Database,L42243,P48551
GenBank Protein Database,995300,P48551
UniProtKB,P48551,P48551
UniProt Accession,INAR2_HUMAN,P48551
HUGO Gene Nomenclature Committee (HGNC),HGNC:5432,P17181
GenAtlas,IFNAR1,P17181
GenBank Gene Database,J03171,P17181
GenBank Protein Database,306914,P17181
Guide to Pharmacology,1723,P17181
UniProtKB,P17181,P17181
UniProt Accession,INAR1_HUMAN,P17181
HUGO Gene Nomenclature Committee (HGNC),HGNC:3416,P19235
GenAtlas,EPOR,P19235
GenBank Gene Database,M60459,P19235
GenBank Protein Database,182245,P19235
Guide to Pharmacology,1718,P19235
UniProtKB,P19235,P19235
UniProt Accession,EPOR_HUMAN,P19235
HUGO Gene Nomenclature Committee (HGNC),HGNC:9071,P00747
GenAtlas,PLG,P00747
GenBank Gene Database,X05199,P00747
GenBank Protein Database,387026,P00747
Guide to Pharmacology,2394,P00747
UniProtKB,P00747,P00747
UniProt Accession,PLMN_HUMAN,P00747
HUGO Gene Nomenclature Committee (HGNC),HGNC:9053,Q03405
GenAtlas,PLAUR,Q03405
GenBank Gene Database,X51675,Q03405
GenBank Protein Database,37605,Q03405
UniProtKB,Q03405,Q03405
UniProt Accession,UPAR_HUMAN,Q03405
HUGO Gene Nomenclature Committee (HGNC),HGNC:9052,P00749
GenAtlas,PLAU,P00749
GenBank Gene Database,X02419,P00749
GenBank Protein Database,1834524,P00749
Guide to Pharmacology,2393,P00749
UniProtKB,P00749,P00749
UniProt Accession,UROK_HUMAN,P00749
HUGO Gene Nomenclature Committee (HGNC),HGNC:9051,P00750
GenAtlas,PLAT,P00750
GenBank Gene Database,L00153,P00750
GenBank Protein Database,339834,P00750
Guide to Pharmacology,2392,P00750
UniProtKB,P00750,P00750
UniProt Accession,TPA_HUMAN,P00750
HUGO Gene Nomenclature Committee (HGNC),HGNC:8583,P05121
GenAtlas,SERPINE1,P05121
GenBank Gene Database,X04429,P05121
GenBank Protein Database,35272,P05121
UniProtKB,P05121,P05121
UniProt Accession,PAI1_HUMAN,P05121
HUGO Gene Nomenclature Committee (HGNC),HGNC:8584,P05120
GenAtlas,SERPINB2,P05120
GenBank Gene Database,J02685,P05120
GenBank Protein Database,189545,P05120
UniProtKB,P05120,P05120
UniProt Accession,PAI2_HUMAN,P05120
HUGO Gene Nomenclature Committee (HGNC),HGNC:8723,P05154
GenAtlas,SERPINA5,P05154
GenBank Gene Database,J02639,P05154
GenBank Protein Database,180550,P05154
UniProtKB,P05154,P05154
UniProt Accession,IPSP_HUMAN,P05154
HUGO Gene Nomenclature Committee (HGNC),HGNC:6694,P98164
GenAtlas,LRP2,P98164
GenBank Gene Database,U33837,P98164
GenBank Protein Database,1809240,P98164
UniProtKB,P98164,P98164
UniProt Accession,LRP2_HUMAN,P98164
HUGO Gene Nomenclature Committee (HGNC),HGNC:11344,Q9Y5Y6
GenAtlas,ST14,Q9Y5Y6
GenBank Gene Database,AF118224,Q9Y5Y6
GenBank Protein Database,6647302,Q9Y5Y6
Guide to Pharmacology,2418,Q9Y5Y6
UniProtKB,Q9Y5Y6,Q9Y5Y6
UniProt Accession,ST14_HUMAN,Q9Y5Y6
HUGO Gene Nomenclature Committee (HGNC),HGNC:7821,P14543
GenAtlas,NID1,P14543
GenBank Gene Database,M30269,P14543
GenBank Protein Database,189209,P14543
UniProtKB,P14543,P14543
UniProt Accession,NID1_HUMAN,P14543
HUGO Gene Nomenclature Committee (HGNC),HGNC:6585,P22888
GenAtlas,LHCGR,P22888
GenBank Gene Database,M73746,P22888
GenBank Protein Database,903746,P22888
IUPHAR,254,P22888
Guide to Pharmacology,254,P22888
UniProtKB,P22888,P22888
UniProt Accession,LSHR_HUMAN,P22888
HUGO Gene Nomenclature Committee (HGNC),HGNC:4421,P30968
GenAtlas,GNRHR,P30968
GenBank Gene Database,L03380,P30968
GenBank Protein Database,183422,P30968
IUPHAR,256,P30968
Guide to Pharmacology,256,P30968
UniProtKB,P30968,P30968
UniProt Accession,GNRHR_HUMAN,P30968
HUGO Gene Nomenclature Committee (HGNC),HGNC:9071,P00747
GenAtlas,PLG,P00747
GenBank Gene Database,X05199,P00747
GenBank Protein Database,387026,P00747
Guide to Pharmacology,2394,P00747
UniProtKB,P00747,P00747
UniProt Accession,PLMN_HUMAN,P00747
HUGO Gene Nomenclature Committee (HGNC),HGNC:3661,P02671
GenAtlas,FGA,P02671
GenBank Gene Database,AF361104,P02671
GenBank Protein Database,13591824,P02671
UniProtKB,P02671,P02671
UniProt Accession,FIBA_HUMAN,P02671
HUGO Gene Nomenclature Committee (HGNC),HGNC:9053,Q03405
GenAtlas,PLAUR,Q03405
GenBank Gene Database,X51675,Q03405
GenBank Protein Database,37605,Q03405
UniProtKB,Q03405,Q03405
UniProt Accession,UPAR_HUMAN,Q03405
HUGO Gene Nomenclature Committee (HGNC),HGNC:8583,P05121
GenAtlas,SERPINE1,P05121
GenBank Gene Database,X04429,P05121
GenBank Protein Database,35272,P05121
UniProtKB,P05121,P05121
UniProt Accession,PAI1_HUMAN,P05121
HUGO Gene Nomenclature Committee (HGNC),HGNC:3416,P19235
GenAtlas,EPOR,P19235
GenBank Gene Database,M60459,P19235
GenBank Protein Database,182245,P19235
Guide to Pharmacology,1718,P19235
UniProtKB,P19235,P19235
UniProt Accession,EPOR_HUMAN,P19235
HUGO Gene Nomenclature Committee (HGNC),HGNC:1440,P30988
GenAtlas,CALCR,P30988
GenBank Gene Database,L00587,P30988
GenBank Protein Database,179880,P30988
IUPHAR,43,P30988
Guide to Pharmacology,43,P30988
UniProtKB,P30988,P30988
UniProt Accession,CALCR_HUMAN,P30988
HUGO Gene Nomenclature Committee (HGNC),HGNC:5432,P17181
GenAtlas,IFNAR1,P17181
GenBank Gene Database,J03171,P17181
GenBank Protein Database,306914,P17181
Guide to Pharmacology,1723,P17181
UniProtKB,P17181,P17181
UniProt Accession,INAR1_HUMAN,P17181
HUGO Gene Nomenclature Committee (HGNC),HGNC:5433,P48551
GenAtlas,IFNAR2,P48551
GenBank Gene Database,L42243,P48551
GenBank Protein Database,995300,P48551
UniProtKB,P48551,P48551
UniProt Accession,INAR2_HUMAN,P48551
HUGO Gene Nomenclature Committee (HGNC),HGNC:2439,Q99062
GenAtlas,CSF3R,Q99062
GenBank Gene Database,X55721,Q99062
GenBank Protein Database,31697,Q99062
UniProtKB,Q99062,Q99062
UniProt Accession,CSF3R_HUMAN,Q99062
HUGO Gene Nomenclature Committee (HGNC),HGNC:3309,P08246
GenAtlas,ELA2,P08246
GenBank Gene Database,Y00477,P08246
GenBank Protein Database,296665,P08246
Guide to Pharmacology,2358,P08246
UniProtKB,P08246,P08246
UniProt Accession,ELNE_HUMAN,P08246
HUGO Gene Nomenclature Committee (HGNC),HGNC:2435,P15509
GenAtlas,CSF2RA,P15509
GenBank Gene Database,X17648,P15509
GenBank Protein Database,32089,P15509
Guide to Pharmacology,1707,P15509
UniProtKB,P15509,P15509
UniProt Accession,CSF2R_HUMAN,P15509
HUGO Gene Nomenclature Committee (HGNC),HGNC:6012,P26951
GenAtlas,IL3RA,P26951
GenBank Gene Database,M74782,P26951
GenBank Protein Database,186331,P26951
UniProtKB,P26951,P26951
UniProt Accession,IL3RA_HUMAN,P26951
HUGO Gene Nomenclature Committee (HGNC),HGNC:2436,P32927
GenAtlas,CSF2RB,P32927
GenBank Gene Database,M59941,P32927
GenBank Protein Database,487425,P32927
UniProtKB,P32927,P32927
UniProt Accession,IL3RB_HUMAN,P32927
HUGO Gene Nomenclature Committee (HGNC),HGNC:10659,P34741
GenAtlas,SDC2,P34741
GenBank Gene Database,J04621,P34741
GenBank Protein Database,386787,P34741
UniProtKB,P34741,P34741
UniProt Accession,SDC2_HUMAN,P34741
HUGO Gene Nomenclature Committee (HGNC),HGNC:9362,P13727
GenAtlas,PRG2,P13727
GenBank Gene Database,Y00809,P13727
GenBank Protein Database,34476,P13727
UniProtKB,P13727,P13727
UniProt Accession,PRG2_HUMAN,P13727
HUGO Gene Nomenclature Committee (HGNC),HGNC:10608,P47872
GenAtlas,SCTR,P47872
GenBank Gene Database,U20178,P47872
GenBank Protein Database,662796,P47872
IUPHAR,252,P47872
Guide to Pharmacology,252,P47872
UniProtKB,P47872,P47872
UniProt Accession,SCTR_HUMAN,P47872
HUGO Gene Nomenclature Committee (HGNC),HGNC:5432,P17181
GenAtlas,IFNAR1,P17181
GenBank Gene Database,J03171,P17181
GenBank Protein Database,306914,P17181
Guide to Pharmacology,1723,P17181
UniProtKB,P17181,P17181
UniProt Accession,INAR1_HUMAN,P17181
HUGO Gene Nomenclature Committee (HGNC),HGNC:5433,P48551
GenAtlas,IFNAR2,P48551
GenBank Gene Database,L42243,P48551
GenBank Protein Database,995300,P48551
UniProtKB,P48551,P48551
UniProt Accession,INAR2_HUMAN,P48551
HUGO Gene Nomenclature Committee (HGNC),HGNC:12373,P16473
GenAtlas,TSHR,P16473
GenBank Gene Database,M73747,P16473
GenBank Protein Database,903760,P16473
IUPHAR,255,P16473
UniProtKB,P16473,P16473
UniProt Accession,TSHR_HUMAN,P16473
HUGO Gene Nomenclature Committee (HGNC),HGNC:3528,P00742
GenAtlas,F10,P00742
GenBank Gene Database,K03194,P00742
GenBank Protein Database,182841,P00742
Guide to Pharmacology,2359,P00742
UniProtKB,P00742,P00742
UniProt Accession,FA10_HUMAN,P00742
HUGO Gene Nomenclature Committee (HGNC),HGNC:3551,P00740
GenAtlas,F9,P00740
GenBank Gene Database,K02402,P00740
GenBank Protein Database,182609,P00740
Guide to Pharmacology,2364,P00740
UniProtKB,P00740,P00740
UniProt Accession,FA9_HUMAN,P00740
HUGO Gene Nomenclature Committee (HGNC),HGNC:12726,P04275
GenAtlas,VWF,P04275
GenBank Gene Database,X04385,P04275
GenBank Protein Database,37947,P04275
UniProtKB,P04275,P04275
UniProt Accession,VWF_HUMAN,P04275
HUGO Gene Nomenclature Committee (HGNC),HGNC:8940,O14832
GenAtlas,PHYH,O14832
GenBank Gene Database,AF023462,O14832
GenBank Protein Database,2564671,O14832
UniProtKB,O14832,O14832
UniProt Accession,PAHX_HUMAN,O14832
HUGO Gene Nomenclature Committee (HGNC),HGNC:743,P07307
GenAtlas,ASGR2,P07307
GenBank Gene Database,M11025,P07307
GenBank Protein Database,179081,P07307
UniProtKB,P07307,P07307
UniProt Accession,ASGR2_HUMAN,P07307
HUGO Gene Nomenclature Committee (HGNC),HGNC:5238,P11021
GenAtlas,HSPA5,P11021
GenBank Gene Database,M19645,P11021
GenBank Protein Database,386758,P11021
UniProtKB,P11021,P11021
UniProt Accession,GRP78_HUMAN,P11021
HUGO Gene Nomenclature Committee (HGNC),HGNC:1455,P27797
GenAtlas,CALR,P27797
GenBank Gene Database,M32294,P27797
GenBank Protein Database,337487,P27797
UniProtKB,P27797,P27797
UniProt Accession,CALR_HUMAN,P27797
HUGO Gene Nomenclature Committee (HGNC),HGNC:1473,P27824
GenAtlas,CANX,P27824
GenBank Gene Database,L10284,P27824
GenBank Protein Database,186523,P27824
UniProtKB,P27824,P27824
UniProt Accession,CALX_HUMAN,P27824
HUGO Gene Nomenclature Committee (HGNC),HGNC:6631,P49257
GenAtlas,LMAN1,P49257
GenBank Gene Database,X71661,P49257
GenBank Protein Database,433938,P49257
UniProtKB,P49257,P49257
UniProt Accession,LMAN1_HUMAN,P49257
HUGO Gene Nomenclature Committee (HGNC),HGNC:6692,Q07954
GenAtlas,LRP1,Q07954
GenBank Gene Database,X13916,Q07954
GenBank Protein Database,34339,Q07954
UniProtKB,Q07954,Q07954
UniProt Accession,LRP1_HUMAN,Q07954
HUGO Gene Nomenclature Committee (HGNC),HGNC:18451,Q8NI22
GenAtlas,MCFD2,Q8NI22
GenBank Gene Database,AF475284,Q8NI22
GenBank Protein Database,20799383,Q8NI22
UniProtKB,Q8NI22,Q8NI22
UniProt Accession,MCFD2_HUMAN,Q8NI22
HUGO Gene Nomenclature Committee (HGNC),HGNC:5993,P14778
GenAtlas,IL1R1,P14778
GenBank Gene Database,X16896,P14778
GenBank Protein Database,33801,P14778
UniProtKB,P14778,P14778
UniProt Accession,IL1R1_HUMAN,P14778
HUGO Gene Nomenclature Committee (HGNC),HGNC:3613,P12314
GenAtlas,FCGR1A,P12314
GenBank Gene Database,X14356,P12314
GenBank Protein Database,31332,P12314
UniProtKB,P12314,P12314
UniProt Accession,FCGR1_HUMAN,P12314
HUGO Gene Nomenclature Committee (HGNC),HGNC:3614,Q92637
UniProtKB,Q92637,Q92637
UniProt Accession,FCGRB_HUMAN,Q92637
HUGO Gene Nomenclature Committee (HGNC),HGNC:3616,P12318
GenAtlas,FCGR2A,P12318
GenBank Gene Database,M31932,P12318
GenBank Protein Database,182474,P12318
UniProtKB,P12318,P12318
UniProt Accession,FCG2A_HUMAN,P12318
HUGO Gene Nomenclature Committee (HGNC),HGNC:3618,P31994
GenAtlas,FCGR2B,P31994
GenBank Gene Database,U87560,P31994
GenBank Protein Database,4099445,P31994
UniProtKB,P31994,P31994
UniProt Accession,FCG2B_HUMAN,P31994
HUGO Gene Nomenclature Committee (HGNC),HGNC:15626,P31995
GenAtlas,FCGR2C,P31995
GenBank Gene Database,X17652,P31995
GenBank Protein Database,32074,P31995
UniProtKB,P31995,P31995
UniProt Accession,FCG2C_HUMAN,P31995
HUGO Gene Nomenclature Committee (HGNC),HGNC:3619,P08637
GenAtlas,FCGR3A,P08637
GenBank Gene Database,X52645,P08637
GenBank Protein Database,31324,P08637
UniProtKB,P08637,P08637
UniProt Accession,FCG3A_HUMAN,P08637
HUGO Gene Nomenclature Committee (HGNC),HGNC:3620,O75015
GenAtlas,FCGR3B,O75015
GenBank Gene Database,X16863,O75015
GenBank Protein Database,31322,O75015
UniProtKB,O75015,O75015
UniProt Accession,FCG3B_HUMAN,O75015
HUGO Gene Nomenclature Committee (HGNC),HGNC:1318,P01024
GenAtlas,C3,P01024
GenBank Gene Database,AY513239,P01024
UniProtKB,P01024,P01024
UniProt Accession,CO3_HUMAN,P01024
HUGO Gene Nomenclature Committee (HGNC),HGNC:1323,P0C0L4
UniProtKB,P0C0L4,P0C0L4
UniProt Accession,CO4A_HUMAN,P0C0L4
HUGO Gene Nomenclature Committee (HGNC),HGNC:1324,P0C0L5
UniProtKB,P0C0L5,P0C0L5
UniProt Accession,CO4B_HUMAN,P0C0L5
HUGO Gene Nomenclature Committee (HGNC),HGNC:1331,P01031
GenAtlas,C5,P01031
GenBank Gene Database,M57729,P01031
GenBank Protein Database,179983,P01031
UniProtKB,P01031,P01031
UniProt Accession,CO5_HUMAN,P01031
HUGO Gene Nomenclature Committee (HGNC),HGNC:9071,P00747
GenAtlas,PLG,P00747
GenBank Gene Database,X05199,P00747
GenBank Protein Database,387026,P00747
Guide to Pharmacology,2394,P00747
UniProtKB,P00747,P00747
UniProt Accession,PLMN_HUMAN,P00747
HUGO Gene Nomenclature Committee (HGNC),HGNC:3661,P02671
GenAtlas,FGA,P02671
GenBank Gene Database,AF361104,P02671
GenBank Protein Database,13591824,P02671
UniProtKB,P02671,P02671
UniProt Accession,FIBA_HUMAN,P02671
HUGO Gene Nomenclature Committee (HGNC),HGNC:9053,Q03405
GenAtlas,PLAUR,Q03405
GenBank Gene Database,X51675,Q03405
GenBank Protein Database,37605,Q03405
UniProtKB,Q03405,Q03405
UniProt Accession,UPAR_HUMAN,Q03405
HUGO Gene Nomenclature Committee (HGNC),HGNC:8583,P05121
GenAtlas,SERPINE1,P05121
GenBank Gene Database,X04429,P05121
GenBank Protein Database,35272,P05121
UniProtKB,P05121,P05121
UniProt Accession,PAI1_HUMAN,P05121
HUGO Gene Nomenclature Committee (HGNC),HGNC:6091,P06213
GenAtlas,INSR,P06213
GenBank Gene Database,M10051,P06213
GenBank Protein Database,307070,P06213
Guide to Pharmacology,1800,P06213
UniProtKB,P06213,P06213
UniProt Accession,INSR_HUMAN,P06213
HUGO Gene Nomenclature Committee (HGNC),HGNC:5465,P08069
GenAtlas,IGF1R,P08069
GenBank Gene Database,X04434,P08069
GenBank Protein Database,804990,P08069
Guide to Pharmacology,1801,P08069
UniProtKB,P08069,P08069
UniProt Accession,IGF1R_HUMAN,P08069
HUGO Gene Nomenclature Committee (HGNC),HGNC:9884,P06400
GenAtlas,RB1,P06400
GenBank Gene Database,M15400,P06400
GenBank Protein Database,190959,P06400
UniProtKB,P06400,P06400
UniProt Accession,RB_HUMAN,P06400
HUGO Gene Nomenclature Committee (HGNC),HGNC:2529,P07339
GenAtlas,CTSD,P07339
GenBank Gene Database,M11233,P07339
GenBank Protein Database,181180,P07339
Guide to Pharmacology,2345,P07339
UniProtKB,P07339,P07339
UniProt Accession,CATD_HUMAN,P07339
HUGO Gene Nomenclature Committee (HGNC),HGNC:5381,P14735
GenAtlas,IDE,P14735
GenBank Gene Database,M21188,P14735
GenBank Protein Database,184556,P14735
Guide to Pharmacology,2371,P14735
UniProtKB,P14735,P14735
UniProt Accession,IDE_HUMAN,P14735
HUGO Gene Nomenclature Committee (HGNC),HGNC:8744,P16519
GenAtlas,PCSK2,P16519
GenBank Gene Database,J05252,P16519
GenBank Protein Database,189652,P16519
Guide to Pharmacology,2383,P16519
UniProtKB,P16519,P16519
UniProt Accession,NEC2_HUMAN,P16519
HUGO Gene Nomenclature Committee (HGNC),HGNC:2303,P16870
GenAtlas,CPE,P16870
GenBank Gene Database,X51405,P16870
GenBank Protein Database,29667,P16870
UniProtKB,P16870,P16870
UniProt Accession,CBPE_HUMAN,P16870
