resource,identifier,polypeptide_id
GenAtlas,PTGS1,P23219
GenBank Gene Database,M31822,P23219
GenBank Protein Database,387018,P23219
Guide to Pharmacology,1375,P23219
UniProtKB,P23219,P23219
UniProt Accession,PGH1_HUMAN,P23219
HUGO Gene Nomenclature Committee (HGNC),HGNC:9605,P35354
GenAtlas,PTGS2,P35354
GenBank Gene Database,L15326,P35354
GenBank Protein Database,291988,P35354
Guide to Pharmacology,1376,P35354
UniProtKB,P35354,P35354
UniProt Accession,PGH2_HUMAN,P35354
HUGO Gene Nomenclature Committee (HGNC),HGNC:9605,P35354
GenAtlas,PTGS2,P35354
GenBank Gene Database,L15326,P35354
GenBank Protein Database,291988,P35354
Guide to Pharmacology,1376,P35354
UniProtKB,P35354,P35354
UniProt Accession,PGH2_HUMAN,P35354
HUGO Gene Nomenclature Committee (HGNC),HGNC:9035,P47712
GenAtlas,PLA2G4A,P47712
GenBank Gene Database,M72393,P47712
GenBank Protein Database,190007,P47712
Guide to Pharmacology,1424,P47712
UniProtKB,P47712,P47712
UniProt Accession,PA24A_HUMAN,P47712
HUGO Gene Nomenclature Committee (HGNC),HGNC:2637,P08684
GenAtlas,CYP3A4,P08684
GenBank Gene Database,M18907,P08684
Guide to Pharmacology,1337,P08684
UniProtKB,P08684,P08684
UniProt Accession,CP3A4_HUMAN,P08684
HUGO Gene Nomenclature Committee (HGNC),HGNC:12805,P47989
GenAtlas,XDH,P47989
GenBank Gene Database,D11456,P47989
GenBank Protein Database,10336525,P47989
Guide to Pharmacology,2646,P47989
UniProtKB,P47989,P47989
UniProt Accession,XDH_HUMAN,P47989
HUGO Gene Nomenclature Committee (HGNC),HGNC:2631,P05181
GenBank Gene Database,J02625,P05181
GenBank Protein Database,181360,P05181
Guide to Pharmacology,1330,P05181
UniProtKB,P05181,P05181
UniProt Accession,CP2E1_HUMAN,P05181
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2594,P11511
GenAtlas,CYP19A1,P11511
GenBank Gene Database,M22246,P11511
GenBank Protein Database,179002,P11511
Guide to Pharmacology,1362,P11511
UniProtKB,P11511,P11511
UniProt Accession,CP19A_HUMAN,P11511
HUGO Gene Nomenclature Committee (HGNC),HGNC:2605,Q02318
GenAtlas,CYP27A1,Q02318
GenBank Gene Database,M62401,Q02318
GenBank Protein Database,181292,Q02318
Guide to Pharmacology,1369,Q02318
UniProtKB,Q02318,Q02318
UniProt Accession,CP27A_HUMAN,Q02318
HUGO Gene Nomenclature Committee (HGNC),HGNC:4341,P15104
GenAtlas,GLUL,P15104
GenBank Gene Database,Y00387,P15104
GenBank Protein Database,31833,P15104
UniProtKB,P15104,P15104
UniProt Accession,GLNA_HUMAN,P15104
HUGO Gene Nomenclature Committee (HGNC),HGNC:2620,P33260
GenBank Gene Database,M61853,P33260
Guide to Pharmacology,1327,P33260
UniProtKB,P33260,P33260
UniProt Accession,CP2CI_HUMAN,P33260
HUGO Gene Nomenclature Committee (HGNC),HGNC:2637,P08684
GenAtlas,CYP3A4,P08684
GenBank Gene Database,M18907,P08684
Guide to Pharmacology,1337,P08684
UniProtKB,P08684,P08684
UniProt Accession,CP3A4_HUMAN,P08684
HUGO Gene Nomenclature Committee (HGNC),HGNC:983,P06276
GenAtlas,BCHE,P06276
GenBank Gene Database,M32391,P06276
GenBank Protein Database,1311630,P06276
Guide to Pharmacology,2471,P06276
UniProtKB,P06276,P06276
UniProt Accession,CHLE_HUMAN,P06276
HUGO Gene Nomenclature Committee (HGNC),HGNC:2621,P33261
GenBank Gene Database,M61854,P33261
GenBank Protein Database,181344,P33261
Guide to Pharmacology,1328,P33261
UniProtKB,P33261,P33261
UniProt Accession,CP2CJ_HUMAN,P33261
HUGO Gene Nomenclature Committee (HGNC),HGNC:2642,Q02928
GenAtlas,CYP4A11,Q02928
GenBank Gene Database,L04751,Q02928
GenBank Protein Database,181397,Q02928
UniProtKB,Q02928,Q02928
UniProt Accession,CP4AB_HUMAN,Q02928
HUGO Gene Nomenclature Committee (HGNC),HGNC:9035,P47712
GenAtlas,PLA2G4A,P47712
GenBank Gene Database,M72393,P47712
GenBank Protein Database,190007,P47712
Guide to Pharmacology,1424,P47712
UniProtKB,P47712,P47712
UniProt Accession,PA24A_HUMAN,P47712
HUGO Gene Nomenclature Committee (HGNC),HGNC:2640,P24462
GenBank Gene Database,D00408,P24462
GenBank Protein Database,220149,P24462
UniProtKB,P24462,P24462
UniProt Accession,CP3A7_HUMAN,P24462
HUGO Gene Nomenclature Committee (HGNC),HGNC:2638,P20815
GenAtlas,CYP3A5,P20815
GenBank Gene Database,J04813,P20815
GenBank Protein Database,181346,P20815
Guide to Pharmacology,1338,P20815
UniProtKB,P20815,P20815
UniProt Accession,CP3A5_HUMAN,P20815
HUGO Gene Nomenclature Committee (HGNC),HGNC:2637,P08684
GenAtlas,CYP3A4,P08684
GenBank Gene Database,M18907,P08684
Guide to Pharmacology,1337,P08684
UniProtKB,P08684,P08684
UniProt Accession,CP3A4_HUMAN,P08684
HUGO Gene Nomenclature Committee (HGNC),HGNC:2621,P33261
GenBank Gene Database,M61854,P33261
GenBank Protein Database,181344,P33261
Guide to Pharmacology,1328,P33261
UniProtKB,P33261,P33261
UniProt Accession,CP2CJ_HUMAN,P33261
HUGO Gene Nomenclature Committee (HGNC),HGNC:2622,P10632
GenAtlas,CYP2C8,P10632
GenBank Gene Database,M17397,P10632
Guide to Pharmacology,1325,P10632
UniProtKB,P10632,P10632
UniProt Accession,CP2C8_HUMAN,P10632
HUGO Gene Nomenclature Committee (HGNC),HGNC:2623,P11712
GenAtlas,CYP2C9,P11712
GenBank Gene Database,AY341248,P11712
Guide to Pharmacology,1326,P11712
UniProtKB,P11712,P11712
UniProt Accession,CP2C9_HUMAN,P11712
HUGO Gene Nomenclature Committee (HGNC),HGNC:2625,P10635
GenAtlas,CYP2D6,P10635
GenBank Gene Database,M20403,P10635
GenBank Protein Database,181350,P10635
Guide to Pharmacology,1329,P10635
UniProtKB,P10635,P10635
UniProt Accession,CP2D6_HUMAN,P10635
HUGO Gene Nomenclature Committee (HGNC),HGNC:7218,P05164
GenAtlas,MPO,P05164
GenBank Gene Database,J02694,P05164
GenBank Protein Database,189040,P05164
Guide to Pharmacology,2789,P05164
UniProtKB,P05164,P05164
UniProt Accession,PERM_HUMAN,P05164
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:9358,P48147
GenAtlas,PREP,P48147
GenBank Gene Database,X74496,P48147
GenBank Protein Database,558596,P48147
Guide to Pharmacology,2395,P48147
UniProtKB,P48147,P48147
UniProt Accession,PPCE_HUMAN,P48147
HUGO Gene Nomenclature Committee (HGNC),HGNC:2621,P33261
GenBank Gene Database,M61854,P33261
GenBank Protein Database,181344,P33261
Guide to Pharmacology,1328,P33261
UniProtKB,P33261,P33261
UniProt Accession,CP2CJ_HUMAN,P33261
HUGO Gene Nomenclature Committee (HGNC),HGNC:2631,P05181
GenBank Gene Database,J02625,P05181
GenBank Protein Database,181360,P05181
Guide to Pharmacology,1330,P05181
UniProtKB,P05181,P05181
UniProt Accession,CP2E1_HUMAN,P05181
HUGO Gene Nomenclature Committee (HGNC),HGNC:19331,Q96EY8
GenAtlas,MMAB,Q96EY8
GenBank Gene Database,AF550404,Q96EY8
GenBank Protein Database,26284726,Q96EY8
UniProtKB,Q96EY8,Q96EY8
UniProt Accession,MMAB_HUMAN,Q96EY8
HUGO Gene Nomenclature Committee (HGNC),HGNC:7526,P22033
GenAtlas,MUT,P22033
GenBank Gene Database,M65131,P22033
GenBank Protein Database,187452,P22033
UniProtKB,P22033,P22033
UniProt Accession,MUTA_HUMAN,P22033
HUGO Gene Nomenclature Committee (HGNC),HGNC:7468,Q99707
GenAtlas,MTR,Q99707
GenBank Gene Database,U71285,Q99707
GenBank Protein Database,1923221,Q99707
UniProtKB,Q99707,Q99707
UniProt Accession,METH_HUMAN,Q99707
GenBank Gene Database,AE008789,Q05599
UniProtKB,Q05599,Q05599
UniProt Accession,COBU_SALTY,Q05599
HUGO Gene Nomenclature Committee (HGNC),HGNC:2631,P05181
GenBank Gene Database,J02625,P05181
GenBank Protein Database,181360,P05181
Guide to Pharmacology,1330,P05181
UniProtKB,P05181,P05181
UniProt Accession,CP2E1_HUMAN,P05181
HUGO Gene Nomenclature Committee (HGNC),HGNC:11296,P19623
GenAtlas,SRM,P19623
GenBank Gene Database,M34338,P19623
GenBank Protein Database,531202,P19623
UniProtKB,P19623,P19623
UniProt Accession,SPEE_HUMAN,P19623
HUGO Gene Nomenclature Committee (HGNC),HGNC:2597,Q16678
GenAtlas,CYP1B1,Q16678
GenBank Gene Database,U03688,Q16678
GenBank Protein Database,501031,Q16678
Guide to Pharmacology,1320,Q16678
UniProtKB,Q16678,Q16678
UniProt Accession,CP1B1_HUMAN,Q16678
HUGO Gene Nomenclature Committee (HGNC),HGNC:24289,Q9Y6K0
GenAtlas,CEPT1,Q9Y6K0
GenBank Gene Database,AF068302,Q9Y6K0
GenBank Protein Database,4584877,Q9Y6K0
UniProtKB,Q9Y6K0,Q9Y6K0
UniProt Accession,CEPT1_HUMAN,Q9Y6K0
HUGO Gene Nomenclature Committee (HGNC),HGNC:1938,Q9Y259
GenAtlas,CHKB,Q9Y259
GenBank Gene Database,AB029885,Q9Y259
GenBank Protein Database,5509940,Q9Y259
UniProtKB,Q9Y259,Q9Y259
UniProt Accession,CHKB_HUMAN,Q9Y259
HUGO Gene Nomenclature Committee (HGNC),HGNC:1912,P28329
GenAtlas,CHAT,P28329
GenBank Gene Database,S56138,P28329
GenBank Protein Database,301096,P28329
UniProtKB,P28329,P28329
UniProt Accession,CLAT_HUMAN,P28329
HUGO Gene Nomenclature Committee (HGNC),HGNC:1937,P35790
GenAtlas,CHKA,P35790
GenBank Gene Database,D10704,P35790
GenBank Protein Database,219541,P35790
UniProtKB,P35790,P35790
UniProt Accession,CHKA_HUMAN,P35790
HUGO Gene Nomenclature Committee (HGNC),HGNC:24288,Q8NE62
GenAtlas,CHDH,Q8NE62
GenBank Gene Database,BC034502,Q8NE62
GenBank Protein Database,21759795,Q8NE62
UniProtKB,Q8NE62,Q8NE62
UniProt Accession,CHDH_HUMAN,Q8NE62
HUGO Gene Nomenclature Committee (HGNC),HGNC:12805,P47989
GenAtlas,XDH,P47989
GenBank Gene Database,D11456,P47989
GenBank Protein Database,10336525,P47989
Guide to Pharmacology,2646,P47989
UniProtKB,P47989,P47989
UniProt Accession,XDH_HUMAN,P47989
HUGO Gene Nomenclature Committee (HGNC),HGNC:10540,P21673
GenAtlas,SAT1,P21673
GenBank Gene Database,M77693,P21673
GenBank Protein Database,338392,P21673
UniProtKB,P21673,P21673
UniProt Accession,SAT1_HUMAN,P21673
HUGO Gene Nomenclature Committee (HGNC),HGNC:23160,Q96F10
GenAtlas,SAT2,Q96F10
GenBank Gene Database,AF348524,Q96F10
GenBank Protein Database,19070527,Q96F10
UniProtKB,Q96F10,Q96F10
UniProt Accession,SAT2_HUMAN,Q96F10
HUGO Gene Nomenclature Committee (HGNC),HGNC:3531,P00488
GenAtlas,F13A1,P00488
GenBank Gene Database,M22001,P00488
GenBank Protein Database,182309,P00488
UniProtKB,P00488,P00488
UniProt Accession,F13A_HUMAN,P00488
HUGO Gene Nomenclature Committee (HGNC),HGNC:4331,O94925
GenAtlas,GLS,O94925
GenBank Gene Database,AF158555,O94925
GenBank Protein Database,5690372,O94925
UniProtKB,O94925,O94925
UniProt Accession,GLSK_HUMAN,O94925
HUGO Gene Nomenclature Committee (HGNC),HGNC:29570,Q9UI32
GenAtlas,GLS2,Q9UI32
GenBank Gene Database,AF110330,Q9UI32
GenBank Protein Database,6650606,Q9UI32
UniProtKB,Q9UI32,Q9UI32
UniProt Accession,GLSL_HUMAN,Q9UI32
HUGO Gene Nomenclature Committee (HGNC),HGNC:11778,P21980
GenAtlas,TGM2,P21980
GenBank Gene Database,M55153,P21980
GenBank Protein Database,339521,P21980
UniProtKB,P21980,P21980
UniProt Accession,TGM2_HUMAN,P21980
HUGO Gene Nomenclature Committee (HGNC),HGNC:11781,O43548
GenAtlas,TGM5,O43548
GenBank Gene Database,AF035960,O43548
GenBank Protein Database,2895530,O43548
UniProtKB,O43548,O43548
UniProt Accession,TGM5_HUMAN,O43548
HUGO Gene Nomenclature Committee (HGNC),HGNC:16255,O95932
GenAtlas,TGM6,O95932
GenBank Gene Database,AF540969,O95932
UniProtKB,O95932,O95932
UniProt Accession,TGM3L_HUMAN,O95932
HUGO Gene Nomenclature Committee (HGNC),HGNC:11777,P22735
GenAtlas,TGM1,P22735
GenBank Gene Database,M98447,P22735
GenBank Protein Database,1256959,P22735
UniProtKB,P22735,P22735
UniProt Accession,TGM1_HUMAN,P22735
HUGO Gene Nomenclature Committee (HGNC),HGNC:11780,P49221
GenAtlas,TGM4,P49221
GenBank Gene Database,L34840,P49221
GenBank Protein Database,2766556,P49221
UniProtKB,P49221,P49221
UniProt Accession,TGM4_HUMAN,P49221
HUGO Gene Nomenclature Committee (HGNC),HGNC:11779,Q08188
GenAtlas,TGM3,Q08188
GenBank Gene Database,L10386,Q08188
GenBank Protein Database,307504,Q08188
UniProtKB,Q08188,Q08188
UniProt Accession,TGM3_HUMAN,Q08188
HUGO Gene Nomenclature Committee (HGNC),HGNC:30790,Q96PF1
GenAtlas,TGM7,Q96PF1
GenBank Gene Database,AF363393,Q96PF1
GenBank Protein Database,15425755,Q96PF1
UniProtKB,Q96PF1,Q96PF1
UniProt Accession,TGM7_HUMAN,Q96PF1
HUGO Gene Nomenclature Committee (HGNC),HGNC:4378,P49915
GenAtlas,GMPS,P49915
GenBank Gene Database,U10860,P49915
GenBank Protein Database,595410,P49915
UniProtKB,P49915,P49915
UniProt Accession,GUAA_HUMAN,P49915
HUGO Gene Nomenclature Committee (HGNC),HGNC:753,P08243
GenAtlas,ASNS,P08243
GenBank Gene Database,M27396,P08243
GenBank Protein Database,179100,P08243
UniProtKB,P08243,P08243
UniProt Accession,ASNS_HUMAN,P08243
HUGO Gene Nomenclature Committee (HGNC),HGNC:1564,Q16773
GenAtlas,CCBL1,Q16773
GenBank Gene Database,X82224,Q16773
GenBank Protein Database,758591,Q16773
Guide to Pharmacology,1445,Q16773
UniProtKB,Q16773,Q16773
UniProt Accession,KAT1_HUMAN,Q16773
HUGO Gene Nomenclature Committee (HGNC),HGNC:8863,O15067
GenAtlas,PFAS,O15067
GenBank Gene Database,AB002359,O15067
GenBank Protein Database,2224663,O15067
UniProtKB,O15067,O15067
UniProt Accession,PUR4_HUMAN,O15067
HUGO Gene Nomenclature Committee (HGNC),HGNC:8849,O75879
GenAtlas,PET112L,O75879
GenBank Gene Database,AF026851,O75879
GenBank Protein Database,3599964,O75879
UniProtKB,O75879,O75879
UniProt Accession,GATB_HUMAN,O75879
HUGO Gene Nomenclature Committee (HGNC),HGNC:4242,O94808
GenAtlas,GFPT2,O94808
GenBank Gene Database,AB016789,O94808
GenBank Protein Database,4239883,O94808
UniProtKB,O94808,O94808
UniProt Accession,GFPT2_HUMAN,O94808
HUGO Gene Nomenclature Committee (HGNC),HGNC:1424,P27708
GenAtlas,CAD,P27708
GenBank Gene Database,D78586,P27708
GenBank Protein Database,1228049,P27708
UniProtKB,P27708,P27708
UniProt Accession,PYR1_HUMAN,P27708
HUGO Gene Nomenclature Committee (HGNC),HGNC:9751,P47897
GenAtlas,QARS,P47897
GenBank Gene Database,X76013,P47897
GenBank Protein Database,558586,P47897
UniProtKB,P47897,P47897
UniProt Accession,SYQ_HUMAN,P47897
HUGO Gene Nomenclature Committee (HGNC),HGNC:29832,Q6IA69
GenAtlas,NADSYN1,Q6IA69
GenBank Gene Database,AB091316,Q6IA69
GenBank Protein Database,28849201,Q6IA69
UniProtKB,Q6IA69,Q6IA69
UniProt Accession,NADE_HUMAN,Q6IA69
HUGO Gene Nomenclature Committee (HGNC),HGNC:468,P23109
GenAtlas,AMPD1,P23109
GenBank Gene Database,M37931,P23109
GenBank Protein Database,10864686,P23109
UniProtKB,P23109,P23109
UniProt Accession,AMPD1_HUMAN,P23109
HUGO Gene Nomenclature Committee (HGNC),HGNC:626,P07741
GenAtlas,APRT,P07741
GenBank Gene Database,Y00486,P07741
GenBank Protein Database,28819,P07741
UniProtKB,P07741,P07741
UniProt Accession,APT_HUMAN,P07741
HUGO Gene Nomenclature Committee (HGNC),HGNC:4341,P15104
GenAtlas,GLUL,P15104
GenBank Gene Database,Y00387,P15104
GenBank Protein Database,31833,P15104
UniProtKB,P15104,P15104
UniProt Accession,GLNA_HUMAN,P15104
HUGO Gene Nomenclature Committee (HGNC),HGNC:7436,P42898
GenAtlas,MTHFR,P42898
GenBank Gene Database,U09806,P42898
GenBank Protein Database,6139053,P42898
UniProtKB,P42898,P42898
UniProt Accession,MTHR_HUMAN,P42898
HUGO Gene Nomenclature Committee (HGNC),HGNC:6904,P31153
GenAtlas,MAT2A,P31153
GenBank Gene Database,X68836,P31153
GenBank Protein Database,36327,P31153
UniProtKB,P31153,P31153
UniProt Accession,METK2_HUMAN,P31153
HUGO Gene Nomenclature Committee (HGNC),HGNC:17061,Q9Y3D2
GenAtlas,MSRB2,Q9Y3D2
GenBank Gene Database,AF151889,Q9Y3D2
GenBank Protein Database,4929731,Q9Y3D2
UniProtKB,Q9Y3D2,Q9Y3D2
UniProt Accession,MSRB2_HUMAN,Q9Y3D2
HUGO Gene Nomenclature Committee (HGNC),HGNC:6903,Q00266
GenAtlas,MAT1A,Q00266
GenBank Gene Database,D49357,Q00266
GenBank Protein Database,220066,Q00266
UniProtKB,Q00266,Q00266
UniProt Accession,METK1_HUMAN,Q00266
HUGO Gene Nomenclature Committee (HGNC),HGNC:14133,Q9NZV6
GenAtlas,SEPX1,Q9NZV6
GenBank Gene Database,AF166124,Q9NZV6
GenBank Protein Database,6649219,Q9NZV6
UniProtKB,Q9NZV6,Q9NZV6
UniProt Accession,MSRB1_HUMAN,Q9NZV6
HUGO Gene Nomenclature Committee (HGNC),HGNC:7377,Q9UJ68
GenAtlas,MSRA,Q9UJ68
GenBank Gene Database,AJ242973,Q9UJ68
GenBank Protein Database,6136945,Q9UJ68
UniProtKB,Q9UJ68,Q9UJ68
UniProt Accession,MSRA_HUMAN,Q9UJ68
HUGO Gene Nomenclature Committee (HGNC),HGNC:6898,P56192
GenAtlas,MARS,P56192
GenBank Gene Database,X94754,P56192
GenBank Protein Database,1702932,P56192
UniProtKB,P56192,P56192
UniProt Accession,SYMC_HUMAN,P56192
HUGO Gene Nomenclature Committee (HGNC),HGNC:25133,Q96GW9
GenAtlas,MARS2,Q96GW9
GenBank Gene Database,AB107013,Q96GW9
GenBank Protein Database,37196758,Q96GW9
UniProtKB,Q96GW9,Q96GW9
UniProt Accession,SYMM_HUMAN,Q96GW9
HUGO Gene Nomenclature Committee (HGNC),HGNC:6905,Q9NZL9
GenAtlas,MAT2B,Q9NZL9
GenBank Gene Database,AF182814,Q9NZL9
GenBank Protein Database,6815285,Q9NZL9
UniProtKB,Q9NZL9,Q9NZL9
UniProt Accession,MAT2B_HUMAN,Q9NZL9
HUGO Gene Nomenclature Committee (HGNC),HGNC:2602,Q07973
GenAtlas,CYP24A1,Q07973
GenBank Gene Database,L13286,Q07973
GenBank Protein Database,306704,Q07973
Guide to Pharmacology,1365,Q07973
UniProtKB,Q07973,Q07973
UniProt Accession,CP24A_HUMAN,Q07973
HUGO Gene Nomenclature Committee (HGNC),HGNC:2637,P08684
GenAtlas,CYP3A4,P08684
GenBank Gene Database,M18907,P08684
Guide to Pharmacology,1337,P08684
UniProtKB,P08684,P08684
UniProt Accession,CP3A4_HUMAN,P08684
HUGO Gene Nomenclature Committee (HGNC),HGNC:6833,P21397
GenAtlas,MAOA,P21397
GenBank Gene Database,M68840,P21397
GenBank Protein Database,187353,P21397
Guide to Pharmacology,2489,P21397
UniProtKB,P21397,P21397
UniProt Accession,AOFA_HUMAN,P21397
HUGO Gene Nomenclature Committee (HGNC),HGNC:7436,P42898
GenAtlas,MTHFR,P42898
GenBank Gene Database,U09806,P42898
GenBank Protein Database,6139053,P42898
UniProtKB,P42898,P42898
UniProt Accession,MTHR_HUMAN,P42898
HUGO Gene Nomenclature Committee (HGNC),HGNC:4627,P09210
GenAtlas,GSTA2,P09210
GenBank Gene Database,M16594,P09210
GenBank Protein Database,306811,P09210
UniProtKB,P09210,P09210
UniProt Accession,GSTA2_HUMAN,P09210
HUGO Gene Nomenclature Committee (HGNC),HGNC:4626,P08263
GenAtlas,GSTA1,P08263
GenBank Gene Database,M15872,P08263
GenBank Protein Database,306809,P08263
UniProtKB,P08263,P08263
UniProt Accession,GSTA1_HUMAN,P08263
HUGO Gene Nomenclature Committee (HGNC),HGNC:2606,O15528
GenAtlas,CYP27B1,O15528
GenBank Gene Database,AF027152,O15528
GenBank Protein Database,2612976,O15528
Guide to Pharmacology,1370,O15528
UniProtKB,O15528,O15528
UniProt Accession,CP27B_HUMAN,O15528
HUGO Gene Nomenclature Committee (HGNC),HGNC:2602,Q07973
GenAtlas,CYP24A1,Q07973
GenBank Gene Database,L13286,Q07973
GenBank Protein Database,306704,Q07973
Guide to Pharmacology,1365,Q07973
UniProtKB,Q07973,Q07973
UniProt Accession,CP24A_HUMAN,Q07973
HUGO Gene Nomenclature Committee (HGNC),HGNC:11708,P48775
GenBank Gene Database,U32989,P48775
GenBank Protein Database,993046,P48775
UniProtKB,P48775,P48775
UniProt Accession,T23O_HUMAN,P48775
HUGO Gene Nomenclature Committee (HGNC),HGNC:2719,P20711
GenAtlas,DDC,P20711
GenBank Gene Database,M76180,P20711
GenBank Protein Database,181521,P20711
UniProtKB,P20711,P20711
UniProt Accession,DDC_HUMAN,P20711
GenBank Gene Database,M14742,P00953
GenBank Protein Database,143784,P00953
UniProtKB,P00953,P00953
UniProt Accession,SYW_GEOSE,P00953
HUGO Gene Nomenclature Committee (HGNC),HGNC:12730,Q9UGM6
GenAtlas,WARS2,Q9UGM6
GenBank Gene Database,AJ242739,Q9UGM6
GenBank Protein Database,6572289,Q9UGM6
UniProtKB,Q9UGM6,Q9UGM6
UniProt Accession,SYWM_HUMAN,Q9UGM6
HUGO Gene Nomenclature Committee (HGNC),HGNC:12008,P17752
GenAtlas,TPH1,P17752
GenBank Gene Database,X52836,P17752
GenBank Protein Database,37955,P17752
UniProtKB,P17752,P17752
UniProt Accession,TPH1_HUMAN,P17752
HUGO Gene Nomenclature Committee (HGNC),HGNC:20692,Q8IWU9
GenAtlas,TPH2,Q8IWU9
GenBank Gene Database,AY098914,Q8IWU9
GenBank Protein Database,27497159,Q8IWU9
UniProtKB,Q8IWU9,Q8IWU9
UniProt Accession,TPH2_HUMAN,Q8IWU9
HUGO Gene Nomenclature Committee (HGNC),HGNC:12729,P23381
GenAtlas,WARS,P23381
GenBank Gene Database,M77804,P23381
GenBank Protein Database,184657,P23381
UniProtKB,P23381,P23381
UniProt Accession,SYWC_HUMAN,P23381
HUGO Gene Nomenclature Committee (HGNC),HGNC:6059,P14902
GenAtlas,INDO,P14902
GenBank Gene Database,M34455,P14902
GenBank Protein Database,306956,P14902
Guide to Pharmacology,2829,P14902
UniProtKB,P14902,P14902
UniProt Accession,I23O1_HUMAN,P14902
HUGO Gene Nomenclature Committee (HGNC),HGNC:2644,P13584
UniProtKB,P13584,P13584
UniProt Accession,CP4B1_HUMAN,P13584
HUGO Gene Nomenclature Committee (HGNC),HGNC:2602,Q07973
GenAtlas,CYP24A1,Q07973
GenBank Gene Database,L13286,Q07973
GenBank Protein Database,306704,Q07973
Guide to Pharmacology,1365,Q07973
UniProtKB,Q07973,Q07973
UniProt Accession,CP24A_HUMAN,Q07973
HUGO Gene Nomenclature Committee (HGNC),HGNC:2606,O15528
GenAtlas,CYP27B1,O15528
GenBank Gene Database,AF027152,O15528
GenBank Protein Database,2612976,O15528
Guide to Pharmacology,1370,O15528
UniProtKB,O15528,O15528
UniProt Accession,CP27B_HUMAN,O15528
HUGO Gene Nomenclature Committee (HGNC),HGNC:2605,Q02318
GenAtlas,CYP27A1,Q02318
GenBank Gene Database,M62401,Q02318
GenBank Protein Database,181292,Q02318
Guide to Pharmacology,1369,Q02318
UniProtKB,Q02318,Q02318
UniProt Accession,CP27A_HUMAN,Q02318
