category,description,polypeptide_id
function,ATP binding,P33527
function,ATPase activity,P33527
function,"ATPase activity, coupled to transmembrane movement of substances",P33527
process,transmembrane transport,P33527
process,transport,P33527
process,vitamin metabolic process,P33527
process,water-soluble vitamin metabolic process,P33527
process,response to drug,P33527
process,cobalamin metabolic process,P33527
process,arachidonic acid metabolic process,P33527
process,leukotriene metabolic process,P33527
process,small molecule metabolic process,P33527
component,plasma membrane,P46721
component,integral component of plasma membrane,P46721
function,sodium-independent organic anion transmembrane transporter activity,P46721
function,bile acid transmembrane transporter activity,P46721
function,organic anion transmembrane transporter activity,P46721
process,organic anion transport,P46721
process,small molecule metabolic process,P46721
process,anion transmembrane transport,P46721
process,transmembrane transport,P46721
process,mitophagy in response to mitochondrial depolarization,P46721
process,bile acid metabolic process,P46721
process,bile acid and bile salt transport,P46721
process,sodium-independent organic anion transport,P46721
component,plasma membrane,Q12908
component,integral component of plasma membrane,Q12908
component,apical plasma membrane,Q12908
component,microvillus,Q12908
function,bile acid,Q12908
process,transport,Q12908
process,small molecule metabolic process,Q12908
process,bile acid metabolic process,Q12908
process,bile acid and bile salt transport,Q12908
component,plasma membrane,Q14973
component,integral component of plasma membrane,Q14973
component,basolateral plasma membrane,Q14973
function,virus receptor activity,Q14973
function,bile acid,Q14973
process,transport,Q14973
process,small molecule metabolic process,Q14973
process,bile acid metabolic process,Q14973
process,bile acid and bile salt transport,Q14973
component,protein complex,Q4U2R8
component,plasma membrane,Q4U2R8
component,extracellular exosome,Q4U2R8
component,integral component of plasma membrane,Q4U2R8
component,basolateral plasma membrane,Q4U2R8
component,caveola,Q4U2R8
function,inorganic anion exchanger activity,Q4U2R8
function,organic anion transmembrane transporter activity,Q4U2R8
function,sodium-independent organic anion transmembrane transporter activity,Q4U2R8
function,chloride ion binding,Q4U2R8
process,sodium-independent organic anion transport,Q4U2R8
process,organic anion transport,Q4U2R8
process,anion transmembrane transport,Q4U2R8
process,alpha-ketoglutarate transport,Q4U2R8
process,transmembrane transport,Q4U2R8
process,renal tubular secretion,Q4U2R8
process,response to methotrexate,Q4U2R8
process,protein homooligomerization,Q4U2R8
component,plasma membrane,Q5T3U5
component,integral component of membrane,Q5T3U5
component,lysosomal membrane,Q5T3U5
function,ATP binding,Q5T3U5
function,"ATPase activity, coupled to transmembrane movement of substances",Q5T3U5
process,transmembrane transport,Q5T3U5
component,plasma membrane,Q92887
component,cell surface,Q92887
component,integral component of plasma membrane,Q92887
component,apical plasma membrane,Q92887
function,ATP binding,Q92887
function,"ATPase activity, coupled to transmembrane movement of substances",Q92887
function,organic anion transmembrane transporter activity,Q92887
process,transport,Q92887
process,drug transmembrane transport,Q92887
process,response to methotrexate,Q92887
process,response to heat,Q92887
process,response to arsenic-containing substance,Q92887
process,response to oxidative stress,Q92887
process,cellular chloride ion homeostasis,Q92887
process,prostaglandin transport,Q92887
process,transmembrane transport,Q92887
process,response to estrogen,Q92887
process,thyroid hormone transport,Q92887
component,nucleus,Q9UNQ0
component,plasma membrane,Q9UNQ0
component,mitochondrial membrane,Q9UNQ0
component,integral component of membrane,Q9UNQ0
function,transporter activity,Q9UNQ0
function,ATP binding,Q9UNQ0
function,"ATPase activity, coupled to transmembrane movement of substances",Q9UNQ0
function,xenobiotic-transporting ATPase activity,Q9UNQ0
function,heme transporter activity,Q9UNQ0
function,protein homodimerization activity,Q9UNQ0
process,transmembrane transport,Q9UNQ0
process,transport,Q9UNQ0
process,drug transmembrane transport,Q9UNQ0
process,cellular iron ion homeostasis,Q9UNQ0
process,urate metabolic process,Q9UNQ0
process,response to drug,Q9UNQ0
process,xenobiotic transport,Q9UNQ0
process,heme transport,Q9UNQ0
process,small molecule metabolic process,Q9UNQ0
component,membrane,Q9Y6L6
component,plasma membrane,Q9Y6L6
component,integral component of plasma membrane,Q9Y6L6
component,basolateral plasma membrane,Q9Y6L6
function,sodium-independent organic anion transmembrane transporter activity,Q9Y6L6
function,bile acid transmembrane transporter activity,Q9Y6L6
process,organic anion transport,Q9Y6L6
process,small molecule metabolic process,Q9Y6L6
process,anion transmembrane transport,Q9Y6L6
process,transmembrane transport,Q9Y6L6
process,bile acid metabolic process,Q9Y6L6
process,bile acid and bile salt transport,Q9Y6L6
process,sodium-independent organic anion transport,Q9Y6L6
component,extracellular region,P20061
component,extracellular space,P20061
function,cobalamin binding,P20061
process,cobalamin transport,P20061
process,small molecule metabolic process,P20061
process,vitamin metabolic process,P20061
process,water-soluble vitamin metabolic process,P20061
process,cobalamin metabolic process,P20061
process,cobalt ion transport,P20061
component,extracellular region,P20062
component,extracellular space,P20062
component,extracellular exosome,P20062
component,endosome,P20062
component,lysosomal lumen,P20062
function,cobalamin binding,P20062
function,metal ion binding,P20062
process,cobalamin metabolic process,P20062
process,cobalt ion transport,P20062
process,cobalamin transport,P20062
process,small molecule metabolic process,P20062
process,vitamin metabolic process,P20062
process,water-soluble vitamin metabolic process,P20062
component,extracellular region,P27352
component,extracellular space,P27352
component,microvillus,P27352
component,endosome,P27352
component,apical plasma membrane,P27352
component,lysosomal lumen,P27352
function,cobalamin binding,P27352
process,cobalt ion transport,P27352
process,cobalamin transport,P27352
process,small molecule metabolic process,P27352
process,vitamin metabolic process,P27352
process,water-soluble vitamin metabolic process,P27352
process,cobalamin metabolic process,P27352
component,cytosol,O60494
component,membrane,O60494
component,extracellular exosome,O60494
component,lysosomal membrane,O60494
component,lysosomal lumen,O60494
component,endoplasmic reticulum,O60494
component,plasma membrane,O60494
component,extrinsic component of external side of plasma membrane,O60494
component,apical plasma membrane,O60494
component,endosome membrane,O60494
component,coated pit,O60494
component,brush border membrane,O60494
component,Golgi apparatus,O60494
component,endocytic vesicle,O60494
function,transporter activity,O60494
function,receptor activity,O60494
function,protein homodimerization activity,O60494
function,calcium ion binding,O60494
function,cobalamin binding,O60494
process,cholesterol metabolic process,O60494
process,lipoprotein metabolic process,O60494
process,receptor-mediated endocytosis,O60494
process,tissue homeostasis,O60494
process,steroid metabolic process,O60494
process,cobalamin metabolic process,O60494
process,vitamin metabolic process,O60494
process,water-soluble vitamin metabolic process,O60494
process,vitamin D metabolic process,O60494
process,cobalamin transport,O60494
process,lipoprotein transport,O60494
process,small molecule metabolic process,O60494
component,cytoplasm,Q99707
component,cytosol,Q99707
function,zinc ion binding,Q99707
function,cobalamin binding,Q99707
function,methionine synthase activity,Q99707
function,S-adenosylmethionine-homocysteine S-methyltransferase activity,Q99707
process,sulfur amino acid metabolic process,Q99707
process,response to axon injury,Q99707
process,cobalamin metabolic process,Q99707
process,methylation,Q99707
process,cellular nitrogen compound metabolic process,Q99707
process,axon regeneration,Q99707
process,small molecule metabolic process,Q99707
process,cellular response to nitric oxide,Q99707
process,nervous system development,Q99707
process,methionine biosynthetic process,Q99707
process,vitamin metabolic process,Q99707
process,pteridine-containing compound metabolic process,Q99707
process,water-soluble vitamin metabolic process,Q99707
process,xenobiotic metabolic process,Q99707
component,plasma membrane,Q92887
component,cell surface,Q92887
component,integral component of plasma membrane,Q92887
component,apical plasma membrane,Q92887
function,ATP binding,Q92887
function,"ATPase activity, coupled to transmembrane movement of substances",Q92887
function,organic anion transmembrane transporter activity,Q92887
process,transport,Q92887
process,drug transmembrane transport,Q92887
process,response to methotrexate,Q92887
process,response to heat,Q92887
process,response to arsenic-containing substance,Q92887
process,response to oxidative stress,Q92887
process,cellular chloride ion homeostasis,Q92887
process,prostaglandin transport,Q92887
process,transmembrane transport,Q92887
process,response to estrogen,Q92887
process,thyroid hormone transport,Q92887
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,cytoplasm,O60669
component,plasma membrane,O60669
component,integral component of plasma membrane,O60669
function,symporter activity,O60669
function,lactate transmembrane transporter activity,O60669
function,pyruvate secondary active transmembrane transporter activity,O60669
function,pyruvate transmembrane transporter activity,O60669
process,transmembrane transport,O60669
process,plasma membrane lactate transport,O60669
process,lactate transmembrane transport,O60669
process,pyruvate transmembrane transport,O60669
component,mitochondrion,P53985
component,centrosome,P53985
component,membrane,P53985
component,plasma membrane,P53985
component,integral component of membrane,P53985
component,extracellular exosome,P53985
component,integral component of plasma membrane,P53985
function,organic cyclic compound binding,P53985
function,mevalonate transmembrane transporter activity,P53985
function,symporter activity,P53985
function,monocarboxylic acid transmembrane transporter activity,P53985
function,lactate transmembrane transporter activity,P53985
process,leukocyte migration,P53985
process,lipid metabolic process,P53985
process,blood coagulation,P53985
process,regulation of insulin secretion,P53985
process,behavioral response to nutrient,P53985
process,pyruvate metabolic process,P53985
process,cellular response to organic cyclic compound,P53985
process,centrosome organization,P53985
process,small molecule metabolic process,P53985
process,response to food,P53985
process,mevalonate transport,P53985
process,glucose homeostasis,P53985
process,monocarboxylic acid transport,P53985
process,cellular metabolic process,P53985
process,plasma membrane lactate transport,P53985
process,transmembrane transport,P53985
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,membrane,Q92959
component,plasma membrane,Q92959
component,integral component of plasma membrane,Q92959
function,lipid transporter activity,Q92959
function,sodium-independent organic anion transmembrane transporter activity,Q92959
function,prostaglandin transmembrane transporter activity,Q92959
process,lipid transport,Q92959
process,anion transmembrane transport,Q92959
process,transmembrane transport,Q92959
process,sodium-independent organic anion transport,Q92959
process,prostaglandin transport,Q92959
component,membrane,O15427
component,plasma membrane,O15427
component,actin cytoskeleton,O15427
component,nuclear membrane,O15427
component,integral component of plasma membrane,O15427
function,symporter activity,O15427
function,monocarboxylic acid transmembrane transporter activity,O15427
function,lactate transmembrane transporter activity,O15427
function,poly(A) RNA binding,O15427
process,blood coagulation,O15427
process,monocarboxylic acid transport,O15427
process,small molecule metabolic process,O15427
process,plasma membrane lactate transport,O15427
process,cellular metabolic process,O15427
process,transmembrane transport,O15427
process,leukocyte migration,O15427
process,pyruvate metabolic process,O15427
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,membrane,O15244
component,plasma membrane,O15244
component,extracellular exosome,O15244
component,integral component of plasma membrane,O15244
function,dopamine transmembrane transporter activity,O15244
function,choline transmembrane transporter activity,O15244
function,quaternary ammonium group transmembrane transporter activity,O15244
function,organic cation transmembrane transporter activity,O15244
process,dopamine transport,O15244
process,neurotransmitter biosynthetic process,O15244
process,synaptic transmission,O15244
process,neurotransmitter secretion,O15244
process,ammonium transmembrane transport,O15244
process,small molecule metabolic process,O15244
process,body fluid secretion,O15244
process,organic cation transport,O15244
process,transmembrane transport,O15244
process,choline transport,O15244
process,drug transmembrane transport,O15244
process,quaternary ammonium group transport,O15244
component,membrane,O15245
component,plasma membrane,O15245
component,integral component of plasma membrane,O15245
component,basolateral plasma membrane,O15245
function,dopamine transmembrane transporter activity,O15245
function,secondary active organic cation transmembrane transporter activity,O15245
function,quaternary ammonium group transmembrane transporter activity,O15245
function,organic cation transmembrane transporter activity,O15245
function,acetylcholine transmembrane transporter activity,O15245
function,norepinephrine transmembrane transporter activity,O15245
process,epinephrine transport,O15245
process,establishment or maintenance of transmembrane electrochemical gradient,O15245
process,neurotransmitter transport,O15245
process,protein homooligomerization,O15245
process,norepinephrine transport,O15245
process,small molecule metabolic process,O15245
process,ammonium transmembrane transport,O15245
process,transmembrane transport,O15245
process,organic cation transport,O15245
process,drug transmembrane transport,O15245
process,quaternary ammonium group transport,O15245
process,dopamine transport,O15245
component,membrane,O75751
component,plasma membrane,O75751
component,integral component of plasma membrane,O75751
function,dopamine transmembrane transporter activity,O75751
function,toxin transporter activity,O75751
function,organic cation transmembrane transporter activity,O75751
function,quaternary ammonium group transmembrane transporter activity,O75751
process,ammonium transmembrane transport,O75751
process,small molecule metabolic process,O75751
process,organic cation transport,O75751
process,transmembrane transport,O75751
process,regulation of appetite,O75751
process,histamine uptake,O75751
process,drug transmembrane transport,O75751
process,quaternary ammonium group transport,O75751
process,dopamine transport,O75751
process,mitophagy in response to mitochondrial depolarization,O75751
component,plasma membrane,O76082
component,extracellular exosome,O76082
component,integral component of plasma membrane,O76082
component,apical plasma membrane,O76082
component,brush border membrane,O76082
function,ATP binding,O76082
function,drug transmembrane transporter activity,O76082
function,PDZ domain binding,O76082
function,quaternary ammonium group transmembrane transporter activity,O76082
function,symporter activity,O76082
function,carnitine transmembrane transporter activity,O76082
function,cation,O76082
process,quaternary ammonium group transport,O76082
process,quorum sensing involved in interaction with host,O76082
process,sodium ion transport,O76082
process,sodium-dependent organic cation transport,O76082
process,drug transport,O76082
process,carnitine metabolic process,O76082
process,carnitine transmembrane transport,O76082
process,transmembrane transport,O76082
process,carnitine transport,O76082
process,drug transmembrane transport,O76082
process,modified amino acid transport,O76082
process,positive regulation of intestinal epithelial structure maintenance,O76082
component,mitochondrion,Q9H015
component,plasma membrane,Q9H015
component,integral component of plasma membrane,Q9H015
component,apical plasma membrane,Q9H015
function,nucleotide binding,Q9H015
function,quaternary ammonium group transmembrane transporter activity,Q9H015
function,symporter activity,Q9H015
function,ATP binding,Q9H015
function,secondary active organic cation transmembrane transporter activity,Q9H015
function,carnitine transmembrane transporter activity,Q9H015
function,cation,Q9H015
function,PDZ domain binding,Q9H015
process,triglyceride metabolic process,Q9H015
process,carnitine metabolic process,Q9H015
process,sodium ion transport,Q9H015
process,carnitine transmembrane transport,Q9H015
process,carnitine transport,Q9H015
process,modified amino acid transport,Q9H015
process,transmembrane transport,Q9H015
process,quaternary ammonium group transport,Q9H015
process,body fluid secretion,Q9H015
process,organic cation transport,Q9H015
component,mitochondrion,Q8WWI5
component,membrane,Q8WWI5
component,plasma membrane,Q8WWI5
component,mitochondrial outer membrane,Q8WWI5
component,integral component of membrane,Q8WWI5
component,extracellular exosome,Q8WWI5
component,nucleoplasm,Q8WWI5
function,choline transmembrane transporter activity,Q8WWI5
process,phosphatidylcholine biosynthetic process,Q8WWI5
process,choline transport,Q8WWI5
process,small molecule metabolic process,Q8WWI5
process,transmembrane transport,Q8WWI5
process,glycerophospholipid biosynthetic process,Q8WWI5
process,phospholipid metabolic process,Q8WWI5
component,plasma membrane,Q53GD3
component,integral component of membrane,Q53GD3
component,extracellular exosome,Q53GD3
process,small molecule metabolic process,Q53GD3
process,transmembrane transport,Q53GD3
process,positive regulation of cell growth,Q53GD3
process,glycerophospholipid biosynthetic process,Q53GD3
process,phospholipid metabolic process,Q53GD3
process,phosphatidylcholine biosynthetic process,Q53GD3
process,acetylcholine biosynthetic process,Q53GD3
process,acetylcholine secretion,Q53GD3
component,plasma membrane,Q8IWA5
component,integral component of membrane,Q8IWA5
component,extracellular exosome,Q8IWA5
component,lysosomal membrane,Q8IWA5
function,signal transducer activity,Q8IWA5
function,choline transmembrane transporter activity,Q8IWA5
process,positive regulation of I-kappaB kinase/NF-kappaB signaling,Q8IWA5
process,signal transduction,Q8IWA5
process,choline transport,Q8IWA5
process,small molecule metabolic process,Q8IWA5
process,transmembrane transport,Q8IWA5
process,glycerophospholipid biosynthetic process,Q8IWA5
process,phospholipid metabolic process,Q8IWA5
process,phosphatidylcholine biosynthetic process,Q8IWA5
component,plasma membrane,Q8N4M1
component,integral component of membrane,Q8N4M1
process,small molecule metabolic process,Q8N4M1
process,transmembrane transport,Q8N4M1
process,glycerophospholipid biosynthetic process,Q8N4M1
process,phospholipid metabolic process,Q8N4M1
process,phosphatidylcholine biosynthetic process,Q8N4M1
component,plasma membrane,Q9GZV3
component,integral component of membrane,Q9GZV3
component,neuronal cell body,Q9GZV3
function,choline binding,Q9GZV3
function,choline transmembrane transporter activity,Q9GZV3
function,choline,Q9GZV3
process,acetylcholine biosynthetic process,Q9GZV3
process,synaptic transmission,Q9GZV3
process,neurotransmitter secretion,Q9GZV3
process,transmembrane transport,Q9GZV3
process,"synaptic transmission, cholinergic",Q9GZV3
process,neuromuscular synaptic transmission,Q9GZV3
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,mitochondrion,Q9H015
component,plasma membrane,Q9H015
component,integral component of plasma membrane,Q9H015
component,apical plasma membrane,Q9H015
function,nucleotide binding,Q9H015
function,quaternary ammonium group transmembrane transporter activity,Q9H015
function,symporter activity,Q9H015
function,ATP binding,Q9H015
function,secondary active organic cation transmembrane transporter activity,Q9H015
function,carnitine transmembrane transporter activity,Q9H015
function,cation,Q9H015
function,PDZ domain binding,Q9H015
process,triglyceride metabolic process,Q9H015
process,carnitine metabolic process,Q9H015
process,sodium ion transport,Q9H015
process,carnitine transmembrane transport,Q9H015
process,carnitine transport,Q9H015
process,modified amino acid transport,Q9H015
process,transmembrane transport,Q9H015
process,quaternary ammonium group transport,Q9H015
process,body fluid secretion,Q9H015
process,organic cation transport,Q9H015
component,plasma membrane,O76082
component,extracellular exosome,O76082
component,integral component of plasma membrane,O76082
component,apical plasma membrane,O76082
component,brush border membrane,O76082
function,ATP binding,O76082
function,drug transmembrane transporter activity,O76082
function,PDZ domain binding,O76082
function,quaternary ammonium group transmembrane transporter activity,O76082
function,symporter activity,O76082
function,carnitine transmembrane transporter activity,O76082
function,cation,O76082
process,quaternary ammonium group transport,O76082
process,quorum sensing involved in interaction with host,O76082
process,sodium ion transport,O76082
process,sodium-dependent organic cation transport,O76082
process,drug transport,O76082
process,carnitine metabolic process,O76082
process,carnitine transmembrane transport,O76082
process,transmembrane transport,O76082
process,carnitine transport,O76082
process,drug transmembrane transport,O76082
process,modified amino acid transport,O76082
process,positive regulation of intestinal epithelial structure maintenance,O76082
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,mitochondrion,Q9H015
component,plasma membrane,Q9H015
component,integral component of plasma membrane,Q9H015
component,apical plasma membrane,Q9H015
function,nucleotide binding,Q9H015
function,quaternary ammonium group transmembrane transporter activity,Q9H015
function,symporter activity,Q9H015
function,ATP binding,Q9H015
function,secondary active organic cation transmembrane transporter activity,Q9H015
function,carnitine transmembrane transporter activity,Q9H015
function,cation,Q9H015
function,PDZ domain binding,Q9H015
process,triglyceride metabolic process,Q9H015
process,carnitine metabolic process,Q9H015
process,sodium ion transport,Q9H015
process,carnitine transmembrane transport,Q9H015
process,carnitine transport,Q9H015
process,modified amino acid transport,Q9H015
process,transmembrane transport,Q9H015
process,quaternary ammonium group transport,Q9H015
process,body fluid secretion,Q9H015
process,organic cation transport,Q9H015
component,cytoplasm,Q9UHI7
component,apical plasma membrane,Q9UHI7
component,membrane,Q9UHI7
component,basal plasma membrane,Q9UHI7
component,plasma membrane,Q9UHI7
component,intracellular organelle,Q9UHI7
component,extracellular exosome,Q9UHI7
component,integral component of plasma membrane,Q9UHI7
function,sodium-dependent L-ascorbate transmembrane transporter activity,Q9UHI7
function,dehydroascorbic acid transporter activity,Q9UHI7
function,L-ascorbate,Q9UHI7
function,L-ascorbic acid transporter activity,Q9UHI7
function,nucleobase transmembrane transporter activity,Q9UHI7
function,sodium ion transmembrane transporter activity,Q9UHI7
process,dehydroascorbic acid transport,Q9UHI7
process,L-ascorbic acid metabolic process,Q9UHI7
process,sodium ion transport,Q9UHI7
process,response to toxic substance,Q9UHI7
process,L-ascorbic acid transport,Q9UHI7
process,brain development,Q9UHI7
process,nucleobase transport,Q9UHI7
process,small molecule metabolic process,Q9UHI7
process,nucleobase-containing compound metabolic process,Q9UHI7
process,transepithelial L-ascorbic acid transport,Q9UHI7
process,vitamin transmembrane transport,Q9UHI7
process,sodium ion transmembrane transport,Q9UHI7
process,lung development,Q9UHI7
process,vitamin metabolic process,Q9UHI7
process,water-soluble vitamin metabolic process,Q9UHI7
component,mitochondrion,Q9H015
component,plasma membrane,Q9H015
component,integral component of plasma membrane,Q9H015
component,apical plasma membrane,Q9H015
function,nucleotide binding,Q9H015
function,quaternary ammonium group transmembrane transporter activity,Q9H015
function,symporter activity,Q9H015
function,ATP binding,Q9H015
function,secondary active organic cation transmembrane transporter activity,Q9H015
function,carnitine transmembrane transporter activity,Q9H015
function,cation,Q9H015
function,PDZ domain binding,Q9H015
process,triglyceride metabolic process,Q9H015
process,carnitine metabolic process,Q9H015
process,sodium ion transport,Q9H015
process,carnitine transmembrane transport,Q9H015
process,carnitine transport,Q9H015
process,modified amino acid transport,Q9H015
process,transmembrane transport,Q9H015
process,quaternary ammonium group transport,Q9H015
process,body fluid secretion,Q9H015
process,organic cation transport,Q9H015
component,membrane,O15245
component,plasma membrane,O15245
component,integral component of plasma membrane,O15245
component,basolateral plasma membrane,O15245
function,dopamine transmembrane transporter activity,O15245
function,secondary active organic cation transmembrane transporter activity,O15245
function,quaternary ammonium group transmembrane transporter activity,O15245
function,organic cation transmembrane transporter activity,O15245
function,acetylcholine transmembrane transporter activity,O15245
function,norepinephrine transmembrane transporter activity,O15245
process,epinephrine transport,O15245
process,establishment or maintenance of transmembrane electrochemical gradient,O15245
process,neurotransmitter transport,O15245
process,protein homooligomerization,O15245
process,norepinephrine transport,O15245
process,small molecule metabolic process,O15245
process,ammonium transmembrane transport,O15245
process,transmembrane transport,O15245
process,organic cation transport,O15245
process,drug transmembrane transport,O15245
process,quaternary ammonium group transport,O15245
process,dopamine transport,O15245
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,plasma membrane,Q8TF71
component,integral component of membrane,Q8TF71
component,integral component of plasma membrane,Q8TF71
component,basolateral plasma membrane,Q8TF71
function,transporter activity,Q8TF71
function,thyroid hormone transmembrane transporter activity,Q8TF71
function,aromatic amino acid transmembrane transporter activity,Q8TF71
process,aromatic amino acid transport,Q8TF71
process,ion transport,Q8TF71
process,amino acid transport,Q8TF71
process,transmembrane transport,Q8TF71
process,ion transmembrane transport,Q8TF71
component,plasma membrane,Q99624
component,integral component of plasma membrane,Q99624
function,L-asparagine transmembrane transporter activity,Q99624
function,L-histidine transmembrane transporter activity,Q99624
function,antiporter activity,Q99624
function,symporter activity,Q99624
function,L-glutamine transmembrane transporter activity,Q99624
function,L-alanine transmembrane transporter activity,Q99624
process,ion transport,Q99624
process,sodium ion transport,Q99624
process,amino acid transport,Q99624
process,asparagine transport,Q99624
process,cellular response to potassium ion starvation,Q99624
process,histidine transport,Q99624
process,L-alanine transport,Q99624
process,transmembrane transport,Q99624
process,L-histidine transmembrane transport,Q99624
process,positive regulation of transcription from RNA polymerase II promoter in response to acidic pH,Q99624
process,glutamine transport,Q99624
component,melanosome,Q15758
component,membrane,Q15758
component,plasma membrane,Q15758
component,Golgi apparatus,Q15758
component,extracellular exosome,Q15758
component,integral component of plasma membrane,Q15758
function,L-glutamine transmembrane transporter activity,Q15758
function,receptor activity,Q15758
function,neutral amino acid transmembrane transporter activity,Q15758
function,sodium,Q15758
function,virus receptor activity,Q15758
process,ion transport,Q15758
process,amino acid transport,Q15758
process,glutamine transport,Q15758
process,neutral amino acid transport,Q15758
process,transmembrane transport,Q15758
component,cytoplasm,Q9UHI5
component,basolateral plasma membrane,Q9UHI5
component,plasma membrane,Q9UHI5
component,extracellular exosome,Q9UHI5
