synonyms,polypeptide_id
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"3.4.21.5,Coagulation factor II",P00734
"GnRH receptor,GRHR",P30968
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
3.4.21.7,P00747
Fibrinogen alpha chain precursor,P02671
"MO3,Monocyte activation antigen Mo3,U-PAR,UPAR",Q03405
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
"GHRH receptor,GRF receptor,GRFR,Growth hormone-releasing factor receptor",Q02643
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
EPO-R,P19235
3.4.21.7,P00747
"MO3,Monocyte activation antigen Mo3,U-PAR,UPAR",Q03405
"3.4.21.73,U-plasminogen activator",P00749
"3.4.21.68,t-PA",P00750
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
"Monocyte Arg-serpin,PAI-2,PAI2,Placental plasminogen activator inhibitor,PLANH2,Serpin B2,Urokinase inhibitor",P05120
"Acrosomal serine protease inhibitor,PAI-3,PAI3,PCI,PLANH3,Plasminogen activator inhibitor 3,PROCI,Protein C inhibitor,Serpin A5",P05154
"Glycoprotein 330,gp330,LRP-2,Megalin",P98164
"3.4.21.109,Matriptase,Membrane-type serine protease 1,MT-SP1,Prostamin,PRSS14,Serine protease 14,Serine protease TADG-15,SNC19,TADG15,Tumor-associated differentially-expressed gene 15 protein",Q9Y5Y6
"Entactin,NID,NID-1",P14543
"LCGR,LGR2,LH/CG-R,LHR,LHRHR,LSH-R,Luteinizing hormone receptor",P22888
"GnRH receptor,GRHR",P30968
3.4.21.7,P00747
Fibrinogen alpha chain precursor,P02671
"MO3,Monocyte activation antigen Mo3,U-PAR,UPAR",Q03405
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
EPO-R,P19235
CT-R,P30988
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"G-CSF receptor,GCSFR",Q99062
"3.4.21.37,Bone marrow serine protease,ELA2,Elastase-2,HLE,Human leukocyte elastase,Medullasin,PMN elastase",P08246
"CDw116,CSF2R,CSF2RY,GM-CSF-R-alpha",P15509
"IL-3 receptor subunit alpha,IL3R",P26951
"CDw131,GM-CSF/IL-3/IL-5 receptor common beta subunit,IL3RB,IL5RB",P32927
"Fibroglycan,Heparan sulfate proteoglycan core protein,HSPG,HSPG1,SYND2",P34741
"BMPG,MBP,Proteoglycan 2",P13727
SCT-R,P47872
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"LGR3,Thyroid-stimulating hormone receptor,TSH-R",P16473
"3.4.21.6,Stuart factor,Stuart-Prower factor",P00742
"3.4.21.22,Christmas factor,Plasma thromboplastin component,PTC",P00740
"F8VWF,vWF",P04275
"1.14.11.18,PAHX,PhyH,Phytanic acid oxidase,Phytanoyl-CoA alpha-hydroxylase",O14832
"ASGP-R 2,C-type lectin domain family 4 member H2,CLEC4H2,Hepatic lectin H2,HL-2",P07307
"BiP,Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78,GRP-78,GRP78,Heat shock 70 kDa protein 5,Immunoglobulin heavy chain-binding protein",P11021
"Calregulin,CRP55,CRTC,Endoplasmic reticulum resident protein 60,ERp60,grp60,HACBP",P27797
"IP90,Major histocompatibility complex class I antigen-binding protein p88,p90",P27824
"ER-Golgi intermediate compartment 53 kDa protein,ERGIC53,F5F8D,Gp58,Intracellular mannose-specific lectin MR60,Lectin mannose-binding 1",P49257
"A2MR,Alpha-2-macroglobulin receptor,APOER,Apolipoprotein E receptor,APR,LRP-1",Q07954
"Neural stem cell-derived neuronal survival protein,SDNSF",Q8NI22
"CD121 antigen-like family member A,IL-1R-1,IL-1R-alpha,IL1R,IL1RA,IL1RT1,Interleukin-1 receptor alpha,Interleukin-1 receptor type I,p80",P14778
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"Fc-gamma RIB,FcRIB,hFcgammaRIB,IGFRB,IgG Fc receptor IB",Q92637
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1,CPAMD1",P01024
"Acidic complement C4,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2,CO4,CPAMD2",P0C0L4
"Basic complement C4,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3,CO4,CPAMD3",P0C0L5
"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4,CPAMD4",P01031
3.4.21.7,P00747
Fibrinogen alpha chain precursor,P02671
"MO3,Monocyte activation antigen Mo3,U-PAR,UPAR",Q03405
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
"2.7.10.1,IR",P06213
"2.7.10.1,IGF-I receptor,Insulin-like growth factor I receptor",P08069
"p105-Rb,pp110,pRb,Rb",P06400
"3.4.23.5,CPSD",P07339
"3.4.24.56,Abeta-degrading protease,Insulin protease,Insulinase,Insulysin",P14735
"3.4.21.94,KEX2-like endoprotease 2,NEC 2,NEC2,PC2,Prohormone convertase 2,Proprotein convertase 2",P16519
"3.4.17.10,Carboxypeptidase H,CPE,CPH,Enkephalin convertase,Prohormone-processing carboxypeptidase",P16870
"3.4.21.93,NEC 1,NEC1,PC1,Prohormone convertase 1,Proprotein convertase 1",P29120
"CCN family member 3,CCN3,IBP-9,IGF-binding protein 9,IGFBP-9,IGFBP9,Insulin-like growth factor-binding protein 9,Nephroblastoma-overexpressed gene protein homolog,NOVH",P48745
"Glycoprotein 330,gp330,LRP-2,Megalin",P98164
"IBP-7,IGFBP-rP1,MAC25,MAC25 protein,PGI2-stimulating factor,Prostacyclin-stimulating factor,PSF,TAF,Tumor-derived adhesion factor",Q16270
"Exophilin-2,Granuphilin",Q96C24
3.4.21.7,P00747
Fibrinogen alpha chain precursor,P02671
"MO3,Monocyte activation antigen Mo3,U-PAR,UPAR",Q03405
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
"Monocyte Arg-serpin,PAI-2,PAI2,Placental plasminogen activator inhibitor,PLANH2,Serpin B2,Urokinase inhibitor",P05120
"C-type lectin domain family 3 member B,Plasminogen kringle 4-binding protein,TN,TNA",P05452
"CK-8,CYK8,Cytokeratin-8,K8,Keratin-8,Type-II keratin Kb8",P05787
"Annexin II,Annexin-2,ANX2,ANX2L4,CAL1H,Calpactin I heavy chain,Calpactin-1 heavy chain,Chromobindin-8,Lipocortin II,LPC2D,p36,PAP-IV,Placental anticoagulant protein IV,Protein I",P07355
"Calregulin,CRP55,CRTC,Endoplasmic reticulum resident protein 60,ERp60,grp60,HACBP",P27797
"IP90,Major histocompatibility complex class I antigen-binding protein p88,p90",P27824
"A2MR,Alpha-2-macroglobulin receptor,APOER,Apolipoprotein E receptor,APR,LRP-1",Q07954
"Follitropin receptor,FSH-R,LGR1",P23945
"LCGR,LGR2,LH/CG-R,LHR,LHRHR,LSH-R,Luteinizing hormone receptor",P22888
"CDw119,IFN-gamma receptor 1",P15260
"AF-1,IFN-gamma receptor 2,IFNGT1,Interferon gamma receptor accessory factor 1,Interferon gamma transducer 1",P38484
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"ADHR,Antidiuretic hormone receptor,AVPR V2,DIR,DIR3,Renal-type arginine vasopressin receptor,V2R",P30518
"Antidiuretic hormone receptor 1a,AVPR V1a,AVPR1,V1aR,Vascular/hepatic-type arginine vasopressin receptor",P37288
"Antidiuretic hormone receptor 1b,AVPR V1b,AVPR V3,AVPR3,V1bR,Vasopressin V3 receptor,VPR3",P47901
"3.4.21.6,Stuart factor,Stuart-Prower factor",P00742
"3.4.21.106,TMPRSS1,Transmembrane protease serine 1",P05981
"EPI,Extrinsic pathway inhibitor,LACI,Lipoprotein-associated coagulation inhibitor,TFPI,TFPI1",P10646
"4.1.1.90,Gamma-glutamyl carboxylase,GC,Peptidyl-glutamate 4-carboxylase,Vitamin K gamma glutamyl carboxylase",P38435
"3.4.21.21,Proconvertin,Serum prothrombin conversion accelerator,SPCA",P08709
"Coagulation factor III,TF,Thromboplastin",P13726
IL-11 receptor subunit alpha,Q14626
"2.7.10.1,BEK,FGFR-2,K-sam,Keratinocyte growth factor receptor,KGFR,KSAM",P21802
"NRP,Vascular endothelial cell growth factor 165 receptor,VEGF165R",O14786
"2.7.10.1,Basic fibroblast growth factor receptor 1,bFGF-R-1,BFGFR,CEK,FGFBR,FGFR-1,FLG,FLT-2,FLT2,Fms-like tyrosine kinase 2,HBGFR,N-sam,Proto-oncogene c-Fgr",P11362
"2.7.10.1,FGFR-4,JTK2,TKF",P22455
"2.7.10.1,FGFR-3,JTK4",P22607
"HSPG,Perlecan,PLC",P98160
GL-R,P47871
GLP-2 receptor,O95838
GLP-1 receptor,P43220
"High affinity IL-2 receptor subunit beta,IL-2 receptor subunit beta,p70-75,p75",P14784
"IL-2 receptor subunit alpha,p55,TAC antigen",P01589
"gammaC,IL-2 receptor subunit gamma,IL-2R subunit gamma,IL-2RG,Interleukin-2 receptor subunit gamma,p64",P31785
"SYB2,Synaptobrevin-2,VAMP-2",P63027
"SYB1,Synaptobrevin-1,VAMP-1",P23763
"Synaptotagmin II,SytII",Q8N9I0
"Fc-epsilon RI-alpha,FCE1A,FcERI,IgE Fc receptor subunit alpha",P12319
"APY,Fc epsilon receptor I beta-chain,FCER1B,FcERI,IgE Fc receptor subunit beta,IGER,Membrane-spanning 4-domains subfamily A member 2",Q01362
"LCGR,LGR2,LH/CG-R,LHR,LHRHR,LSH-R,Luteinizing hormone receptor",P22888
"TIL4,Toll/interleukin-1 receptor-like protein 4",O60603
"2.7.10.1,IR",P06213
"2.7.10.1,IGF-I receptor,Insulin-like growth factor I receptor",P08069
"2.7.10.1,IR",P06213
"2.7.10.1,IGF-I receptor,Insulin-like growth factor I receptor",P08069
Alpha-1 type I collagen,P02452
Alpha-1 type II collagen,P02458
"Collagen alpha-1(III) chain precursor,III",P02461
Alpha-2 type I collagen,P08123
"GnRH receptor,GRHR",P30968
"LCGR,LGR2,LH/CG-R,LHR,LHRHR,LSH-R,Luteinizing hormone receptor",P22888
"Cachectin,TNF-a,TNF-alpha,TNFA,TNFSF2,Tumor necrosis factor ligand superfamily member 2",P01375
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"GH receptor,Somatotropin receptor",P10912
PRL-R,P16471
"GP3A,GPIIIa,Platelet membrane glycoprotein IIIa",P05106
"GP2B,GPalpha IIb,GPIIb,ITGAB,Platelet membrane glycoprotein IIb",P08514
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"S-protein,Serum-spreading factor,V75,VN",P04004
"AHF,Antihemophilic factor,F8C,Procoagulant component",P00451
"Activated protein C cofactor,Proaccelerin, labile factor",P12259
"Endothelial plasminogen activator inhibitor,PAI,PAI1,PLANH1,Serpin E1",P05121
"Fetomodulin,THRM,TM",P07204
PROS,P07225
"1.16.3.1,Ferroxidase",P00450
"3.4.21.5,Coagulation factor II",P00734
"C-X-C motif chemokine 4,CXCL4,Iroplact,Oncostatin-A,PF-4,SCYB4",P02776
"Acrosomal serine protease inhibitor,PAI-3,PAI3,PCI,PLANH3,Plasminogen activator inhibitor 3,PROCI,Protein C inhibitor,Serpin A5",P05154
"CAP,Cytoplasmic antiproteinase,Peptidase inhibitor 6,PI-6,PI6,Placental thrombin inhibitor,PTI",P35237
"4.1.1.90,Gamma-glutamyl carboxylase,GC,Peptidyl-glutamate 4-carboxylase,Vitamin K gamma glutamyl carboxylase",P38435
"Activated protein C receptor,APC receptor,Endothelial cell protein C receptor,EPCR",Q9UNN8
"gp67,Sialic acid-binding Ig-like lectin 3,Siglec-3,SIGLEC3",P20138
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"3.4.21.37,Bone marrow serine protease,ELA2,Elastase-2,HLE,Human leukocyte elastase,Medullasin,PMN elastase",P08246
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"Adapter protein GRB2,ASH,Protein Ash,SH2/SH3 adapter GRB2",P62993
"GP3A,GPIIIa,Platelet membrane glycoprotein IIIa",P05106
"Cachectin,TNF-a,TNF-alpha,TNFA,TNFSF2,Tumor necrosis factor ligand superfamily member 2",P01375
"Follitropin receptor,FSH-R,LGR1",P23945
"ADHR,Antidiuretic hormone receptor,AVPR V2,DIR,DIR3,Renal-type arginine vasopressin receptor,V2R",P30518
"Antidiuretic hormone receptor 1a,AVPR V1a,AVPR1,V1aR,Vascular/hepatic-type arginine vasopressin receptor",P37288
"Antidiuretic hormone receptor 1b,AVPR V1b,AVPR V3,AVPR3,V1bR,Vasopressin V3 receptor,VPR3",P47901
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"CRF2-1,Cytokine receptor class-II member 1,Cytokine receptor family 2 member 1,IFN-R-1,IFNAR,Type I interferon receptor 1",P17181
"IFN-R-2,IFNABR,IFNARB,Interferon alpha binding protein,Type I interferon receptor 2",P48551
"TGF-beta-1,TGFB",P01137
"2.7.10.1,IR",P06213
"2.7.10.1,IGF-I receptor,Insulin-like growth factor I receptor",P08069
"3.4.24.56,Abeta-degrading protease,Insulin protease,Insulinase,Insulysin",P14735
"DX alpha chain,HLA class II histocompatibility antigen, DQ(6) alpha chain,HLA-DQA1,HLA-DXA,MHC class II DQA2",P01906
"HLA-DQB,MHC class II antigen DQB1",P01920
"p105-Rb,pp110,pRb,Rb",P06400
"3.4.23.5,CPSD",P07339
"3.4.17.10,Carboxypeptidase H,CPE,CPH,Enkephalin convertase,Prohormone-processing carboxypeptidase",P16870
"3.4.21.94,KEX2-like endoprotease 2,NEC 2,NEC2,PC2,Prohormone convertase 2,Proprotein convertase 2",P16519
"3.4.21.93,NEC 1,NEC1,PC1,Prohormone convertase 1,Proprotein convertase 1",P29120
"CCN family member 3,CCN3,IBP-9,IGF-binding protein 9,IGFBP-9,IGFBP9,Insulin-like growth factor-binding protein 9,Nephroblastoma-overexpressed gene protein homolog,NOVH",P48745
"Glycoprotein 330,gp330,LRP-2,Megalin",P98164
"IBP-7,IGFBP-rP1,MAC25,MAC25 protein,PGI2-stimulating factor,Prostacyclin-stimulating factor,PSF,TAF,Tumor-derived adhesion factor",Q16270
"Exophilin-2,Granuphilin",Q96C24
"2.7.10.1,HER2,Metastatic lymph node gene 19 protein,MLN 19,MLN19,NEU,NGL,p185erbB2,Proto-oncogene c-ErbB-2,Proto-oncogene Neu,Tyrosine kinase-type cell surface receptor HER2",P04626
"2.7.10.1,ERBB,ERBB1,HER1,Proto-oncogene c-ErbB-1,Receptor tyrosine-protein kinase erbB-1",P00533
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"B-lymphocyte surface antigen B1,Bp35,CD20,Leukocyte surface antigen Leu-16,Membrane-spanning 4-domains subfamily A member 1",P11836
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"IL-2 receptor subunit alpha,p55,TAC antigen",P01589
"High affinity IL-2 receptor subunit beta,IL-2 receptor subunit beta,p70-75,p75",P14784
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"T-cell receptor T3 delta chain,T3D",P04234
"T-cell surface antigen T3/Leu-4 epsilon chain,T3E",P07766
"T-cell receptor T3 gamma chain,T3G",P09693
"CD3Z,T-cell receptor T3 zeta chain,T3Z,TCRZ",P20963
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
